  40 -36.88669779 18.82s
  50 -36.88763019 25.94s
  60 -36.88776956 29.93s
  70 -36.88799468 50.01s
  80 -36.88814403 54.42s
  90 -36.88817885 1m27.58s
 100 -36.88819187 1m50.41s
 110 -36.88820164 2m18.18s
 120 -36.88821621 2m24.27s
